id,northing,easting,altitude,start,stop,sd1500,sd750
1452,6110023.09,488123.12,1373.78,865728000,1,1,0
1453,6116517.93,490372.7,1368.13,866937600,1,1,0
1454,6117819.62,495625.18,1360.39,864864000,1,1,0
1455,6116520.51,493373.45,1364.07,864518400,1,1,0
1456,6110026.32,483622.27,1382.22,864000000,1,1,0
1457,6116523.21,491873.63,1366.46,866937600,1,1,0
1458,6113920.23,491872.89,1365.1,891907200,1,1,0
1459,6102234.09,483624.05,1384.92,898387200,1,1,0
1460,6108734.35,482876.18,1383.72,864000000,1,1,0
1461,6117826.78,477619.57,1394.09,856915200,1,1,0
1462,6116524.73,478376.12,1392.2,856742400,1,1,0
1463,6110023.95,485134.01,1379.07,864000000,1,1,0
1464,6108726.33,485883.51,1378.37,864691200,1,1,0
1465,6113924.33,488875.63,1371.43,865382400,1,1,0
1466,6113920.8,496374.87,1358.79,891043200,1,1,0
1467,6103533.69,482875.91,1386.18,892339200,1,1,0
1468,6119127.73,482876.39,1381.74,856915200,1,1,0
1469,6110032.29,489614.83,1370.89,865728000,1,1,0
1470,6112625.44,497124.55,1356.52,891388800,1,1,0
1471,6129511.11,494877.93,1377.66,873072000,1,1,0
1472,6117834.36,462633.26,1455.95,859852800,1,1,0
1473,6107425.75,485133.76,1380.67,892512000,1,1,0
1474,6115218.82,494124.89,1361.76,891388800,1,1,0
1475,6113921.22,494875.45,1361.92,865209600,1,1,0
1476,6117822.22,494127.22,1363.97,864864000,1,1,0
1477,6115222.94,492625.85,1362.9,865123200,1,1,0
1478,6132111.61,475376.44,1506.74,868838400,1,1,0
1480,6121718.92,488875.45,1371.23,864518400,1,1,0
1481,6128211.76,476121.53,1435.12,866851200,1,1,0
1482,6130815.94,474626.61,1488.92,866937600,1,1,0
1483,6132105.97,476883.57,1490.49,867542400,1,1,0
1484,6129513.43,497869.22,1375.7,873244800,1,1,0
1485,6128235.57,474624.12,1453.74,871776000,1,1,0
1486,6126918.57,472369.25,1443.81,867542400,1,1,0
1487,6129519.81,476865.69,1449.63,866419200,1,1,0
1488,6128210.84,492625.82,1370.07,873158400,1,1,0
1489,6129509.7,493374.92,1382.84,873072000,1,1,0
1490,6112621.93,495626.53,1360.87,864172800,1,1,0
1491,6108731.66,484378.97,1381.32,866505600,1,1,0
1492,6107428.96,483627.8,1381.64,866419200,1,1,0
1493,6119124.04,491878.09,1365.31,864518400,1,1,0
1494,6117824.44,492634.1,1365.92,864086400,1,1,0
1495,6111330.66,493377.17,1362.4,864604800,1,1,0
1496,6119120.27,494876.3,1363.39,863395200,1,1,0
